Wine_ID,Taste_Note_1,Taste_Note_2,Taste_Note_3
2985159,"albaricoque, melocotón,...","limón, cítrico, naranja","roble, nuez moscada, va..."
6332271,"melocotón, melocotón bl...","crema, pan tostado","vainilla, mantequilla, ..."
2058604,"minerales, miel, tiza","cítrico, limón, lima","manzana verde, pera, ma..."
2155298,"roble, vainilla, carame...","miel, hongo, minerales","almendra, sabor a nuez,..."
9308731,"manzana asada, melón","avellana, tostada",pomelo
2371063,"miel, minerales, tiza","pera, manzana, melocotó...","cítrico, limón"
1176637,"melocotón, manzana, mel...","vainilla, roble, mezcla...","tostada, caramelo quema..."
1126849,"mantequilla, roble, vai...","minerales, miel, piedra","melocotón, pera, manzan..."
1487895,"jengibre, miel, mineral...","manzana verde, pera, ma...","limón, cítrico"
1543982,"manzana verde, albarico...","limón, cítrico, pomelo","tostada, sabor a nuez, ..."
5443218,"minerales, sílex, humo","cítrico, limón, lima","manzana, albaricoque, p..."
2761645,"melocotón, manzana verd...","cítrico, cáscara de lim...",
86690,"melocotón, manzana, alb...","miel, minerales, petról...","cítrico, lima, limón"
2871,"mantequilla, roble, vai...","miel, minerales, piedra","manzana, melocotón, alb..."
5115,"roble, mantequilla, vai...","pera, melón, manzana","cítrico, limón, piel de..."
1555830,"cítrico, limón, lima","minerales, piedra, miel","manzana, pera, albarico..."
1424141,"albaricoque, melocotón,...","miel, minerales, jengib...","butterscotch, mantequil..."
4901739,"minerales, miel, sílex","roble, mantequilla, vai...","melocotón, manzana, alb..."
1098866,"melocotón, pera, albari...","miel, piedra, Terroso","cítrico, pomelo, lima"
9754945,"minerales, sal, piedra","cítrico, limón","manzana, drupa"
1164660,"minerales, petróleo, mi...","melocotón, pera, manzan...","cítrico, limón, lima"
2255340,"cítrico, limón, pomelo","minerales, sílex, humo","pera, albaricoque, manz..."
2711628,"minerales, piedra, síle...","cítrico, lima, pomelo","melocotón, manzana verd..."
1200673,"albaricoque, melocotón,...","miel, minerales, piedra","roble, mantequilla, vai..."
1950121,"naranja, cáscara de nar...","miel, jengibre, piedra","albaricoque, melocotón,..."
7957960,"miel, piedra, minerales","pera, manzana, manzana ...","cítrico, limón, cáscara..."
8061131,"manzana, pera, albarico...","miel, minerales, sal","acacia, azahar"
1111721,"cítrico, limón, lima","minerales, miel, humo","manzana, manzana verde,..."
1155694,"mantequilla, roble, vai...","minerales, miel, piedra","cítrico, limón, pomelo"
78370,"minerales, piedra, miel","roble, mantequilla, vai...","cítrico, limón, lima"
76132,"roble, mantequilla, vai...","cítrico, limón, pomelo","melocotón, pera, manzan..."
1418252,"roble, vainilla, manteq...","manzana, melocotón, alb...","cítrico, lima, cáscara ..."
1221489,"minerales, humo, sílex","cítrico, limón, piel de...","mantequilla, roble, vai..."
1923478,"albaricoque, melocotón,...","lichi, tropical, piña","lima, pomelo, cítrico"
1257115,"miel, minerales, hongo","albaricoque, melocotón ...",crema
1884225,"roble, mantequilla, vai...","cítrico, limón, lima","melocotón, manzana, nec..."
5106,"pera, manzana, manzana ...","cítrico, limón, pomelo","minerales, miel, piedra"
82915,"cítrico, pomelo, limón","pera, manzana, melón","tropical, piña, kiwi"
11215798,No disponible,No disponible,No disponible
1107302,"mantequilla, roble, vai...","cítrico, limón","melocotón, drupa, melón"
1984149,"minerales, miel, piedra","cítrico, limón, naranja","manzana, pera, melocotó..."
1204146,"minerales, miel, sal","melocotón, manzana, man...","cítrico, limón, lima"
1351873,"mantequilla, roble, vai...","minerales, miel, sílex","pera, manzana, albarico..."
6139635,"roble, vainilla, manteq...","manzana verde, pera, ma...","limón, cítrico, piel de..."
1100051,"minerales, miel, humo","cítrico, limón, lima","roble, mantequilla, vai..."
2138735,"melocotón, albaricoque,...","miel, minerales, cuero","roble, vainilla, manteq..."
7106044,"mantequilla, roble, vai...","minerales, miel, sílex","limón, cítrico, lima"
1922905,"minerales, miel, hongo","mantequilla, caramelo, ...","cítrico, pomelo"
1299616,"minerales, piedra, miel","roble, mantequilla, car...","cítrico, limón, cáscara..."
5123429,"melocotón, manzana verd...","mantequilla, roble, vai...","minerales, sílex, miel"
